N,ds_m,error,integrator_name,iter_count,iters_per_point,lap_time_s,model_name,reg_term,reg_term_relative,return_status,solve_time_s,time_per_iter_ms,time_per_iter_per_point_ms,time_per_lap_solve_ratio,time_per_point_ms,track_id
4000,0.1,,euler,112,0.028,34.70904644284517,point_mass,8.570986201590415,0.19803557617446407,Solve_Succeeded,109.40467582299607,976.8274627053221,0.24420686567633051,3.1520507485894487,27.351168955749017,fsg_random
3255,0.12286253559934776,,euler,119,0.03655913978494624,33.378860049275325,point_mass,8.155448706533555,0.19635450669184318,Solve_Succeeded,94.34378863900201,792.8049465462354,0.24356526775613993,2.8264532850950457,28.98426686298065,fsg_random
2650,0.15095202653901,,euler,136,0.05132075471698113,32.13539145991895,point_mass,7.742357360419831,0.19415231775749112,Solve_Succeeded,88.96600843199849,654.1618267058712,0.24685351951164952,2.7684743950594735,33.572078653584335,fsg_random
2157,0.185463487344428,,euler,116,0.05377839592025962,30.983197777077834,point_mass,7.327599767365356,0.19126722065404228,Solve_Succeeded,65.00618000599934,560.3981034999942,0.2598044058878045,2.0981107396891288,30.137311082985324,fsg_random
1755,0.22786514316233974,,euler,31,0.017663817663817662,30.002240092415715,point_mass,6.8378094535875995,0.18560804173319623,Solve_Succeeded,19.935067721999076,643.0667007096475,0.3664197724841297,0.6644526428891047,11.35901294700802,fsg_random
1429,0.2799608926363344,,euler,31,0.021693491952414275,29.240669551387327,point_mass,6.248964866936589,0.17607859222438593,Solve_Succeeded,16.14971623999736,520.9585883870116,0.3645616433778948,0.5523032299795999,11.301410944714739,fsg_random
1163,0.34396705137956807,,euler,33,0.028374892519346516,28.709541956654796,point_mass,5.559453915325413,0.16222984577937574,Solve_Succeeded,13.784648744003789,417.71662860617545,0.3591716497043641,0.4801417161170885,11.852664440244016,fsg_random
946,0.4226066409512487,,euler,33,0.03488372093023256,28.286671699587405,point_mass,4.89201847036291,0.1474445930597216,Solve_Succeeded,11.323375709005632,343.1325972425949,0.3627194474023202,0.40030781384473724,11.969741764276566,fsg_random
770,0.5192252346839357,,euler,40,0.05194805194805195,27.964214140497084,point_mass,4.265714721294572,0.13235259499289634,Solve_Succeeded,10.675584137999977,266.8896034499994,0.34660987461038884,0.38175877513896805,13.864394984415554,fsg_random
627,0.6379332888043474,,euler,37,0.05901116427432217,27.715534159438395,point_mass,3.6886562078856677,0.1174574528029769,Solve_Succeeded,6.72109296599956,181.65116124323137,0.289714770722857,0.24250273970313227,10.719446516745709,fsg_random
510,0.7837810140573315,,euler,35,0.06862745098039216,27.529500292684173,point_mass,3.1606842156083736,0.1029868104818448,Solve_Succeeded,5.2992510449985275,151.40717271424364,0.29687680924361504,0.1924935428779569,10.390688323526525,fsg_random
415,0.9629732274171177,,euler,41,0.09879518072289156,27.3861114302256,point_mass,2.6928699294584426,0.08952663314149975,Solve_Succeeded,4.648220045004564,113.37122060986742,0.27318366412016243,0.16972909998001395,11.20053022892666,fsg_random
338,1.1831333243475441,,euler,36,0.10650887573964497,27.275817948623143,point_mass,2.2835287244575113,0.0772523408488285,Solve_Succeeded,3.450779558996146,95.85498774989294,0.28359463831329274,0.12651424663033206,10.209406979278539,fsg_random
275,1.4536276018142484,,euler,39,0.14181818181818182,27.204104258533413,point_mass,1.919099080203054,0.06589587889359962,Solve_Succeeded,3.0789987730022403,78.94868648723694,0.2870861326808616,0.11318140614890551,11.196359174553601,fsg_random
224,1.7859637297609765,,euler,42,0.1875,27.166626608964265,point_mass,1.6027870846964625,0.055711496305176106,Solve_Succeeded,2.525588887001504,60.13306873813105,0.2684511997237993,0.09296659917901352,11.274950388399573,fsg_random
182,2.1942803232690182,,euler,40,0.21978021978021978,27.128019552750263,point_mass,1.3289007192686597,0.04669868371439123,Solve_Succeeded,1.8615627570034121,46.5390689250853,0.25570916991805115,0.06862140280397598,10.228366796722046,fsg_random
148,2.695948443325881,,euler,41,0.27702702702702703,27.133545605216042,point_mass,1.0902587201373137,0.03862904899599016,Solve_Succeeded,1.4681550759996753,35.80866039023598,0.24195040804213502,0.054108486128603965,9.919966729727536,fsg_random
121,3.312310615921323,,euler,42,0.34710743801652894,27.0878143825553,point_mass,0.900784167679074,0.03218396827059177,Solve_Succeeded,1.205980440005078,28.713820000120904,0.23730429752166035,0.04452114234737727,9.966780495909735,fsg_random
98,4.06958880964731,,euler,43,0.4387755102040816,27.09393921013446,point_mass,0.7324666281367342,0.026322717795243696,Solve_Succeeded,0.997046053998929,23.187117534858814,0.23660324015162054,0.03679959736626208,10.173939326519683,fsg_random
80,5.0,,euler,22,0.275,27.131365767278012,point_mass,0.6040971493079788,0.021780676642203244,Solve_Succeeded,0.5155885540007148,23.43584336366885,0.29294804204586067,0.019003413186907982,6.444856925008935,fsg_random
