N,ds_m,error,integrator_name,iter_count,iters_per_point,lap_time_s,model_name,reg_term,reg_term_relative,reg_u_l2_applied,return_status,solve_time_s,time_per_iter_ms,time_per_iter_per_point_ms,time_per_lap_solve_ratio,time_per_point_ms,track_id
1709.0,0.3,,euler,91.0,0.05324751316559392,43.17871120370085,four_wheel,1.1049925563546665,0.024952577642147998,0.0006,Solve_Succeeded,250.03767028699804,2747.666706450528,1.6077628475427315,5.790762700336625,146.30641912638856,track_boundary_maisach
1450.0,0.3536305904380761,,euler,91.0,0.06275862068965517,43.181997624368556,four_wheel,1.1016033512431704,0.024876101468122604,0.0007072611808761522,Solve_Succeeded,210.71399376900808,2315.5383930660228,1.5969230297007053,4.879672209747367,145.31999570276417,track_boundary_maisach
1230.0,0.41684864831194124,,euler,81.0,0.06585365853658537,43.172629452787,four_wheel,1.0977973218993213,0.0247975319390198,0.0008336972966238825,Solve_Succeeded,164.96039183999528,2036.548047407349,1.6557301198433731,3.820948455789419,134.11413970731323,track_boundary_maisach
1043.0,0.4913681120862192,,euler,137.0,0.13135186960690318,43.16960609086084,four_wheel,1.1011622441119613,0.024873348386006452,0.0009827362241724385,Solve_Succeeded,216.5369941139943,1580.562000832075,1.5153998090432168,5.015959461345096,207.60977383892072,track_boundary_maisach
1025.0,0.5,,euler,190.0,0.18536585365853658,43.20287662806328,four_wheel,1.0995341143811501,0.02481883256361327,0.001,Solve_Succeeded,296.9021335869911,1562.6428083525848,1.524529569124473,6.872276958385046,289.66061813364985,track_boundary_maisach
885.0,0.5792093186649749,,euler,130.0,0.14689265536723164,43.194675018998055,four_wheel,1.0920929383064504,0.024659576407998506,0.00115841863732995,Solve_Succeeded,177.69680833899474,1366.898525684575,1.5445181081181638,4.113859133350104,200.7873540553613,track_boundary_maisach
751.0,0.6827537778224364,,euler,116.0,0.15446071904127828,43.16306073454039,four_wheel,1.088928808316993,0.024607454253833764,0.0013655075556448727,Solve_Succeeded,138.0312581120088,1189.9246388966276,1.584453580421608,3.1979024601828576,183.79661532890654,track_boundary_maisach
637.0,0.8048087385839175,,euler,96.0,0.15070643642072212,43.18016529959147,four_wheel,1.0836208139483077,0.024480978901550418,0.0016096174771678352,Solve_Succeeded,101.75026272599644,1059.8985700624628,1.663891004807634,2.3564120706818854,159.73353646153288,track_boundary_maisach
540.0,0.9486832980505137,,euler,92.0,0.17037037037037037,43.21653478954271,four_wheel,1.0715383674020913,0.02419473892225685,0.0018973665961010274,Solve_Succeeded,85.66498166599195,931.1411050651299,1.7243353797502405,1.9822269898122573,158.63885493702213,track_boundary_maisach
513.0,1.0,,euler,91.0,0.17738791423001948,43.27022934031641,four_wheel,1.0710656233770024,0.024155037065426016,0.002,Solve_Succeeded,79.5450302590034,874.1212116373999,1.7039399836986353,1.838331607475176,155.05853851657582,track_boundary_maisach
458.0,1.118278116094482,,euler,83.0,0.1812227074235808,43.260405543427716,four_wheel,1.0660241647728554,0.024049402845897076,0.002236556232188964,Solve_Succeeded,67.46011633799935,812.7724859999922,1.7746124148471445,1.5593962999324713,147.292830432313,track_boundary_maisach
389.0,1.318191168228237,,euler,115.0,0.29562982005141386,43.23818115226279,four_wheel,1.0483593467869383,0.023672188772781502,0.0026363823364564743,Solve_Succeeded,64.73885470000096,562.946562608704,1.4471634000223752,1.497261285622163,166.42379100257315,track_boundary_maisach
330.0,1.5538424037693628,,euler,91.0,0.27575757575757576,43.44258738429325,four_wheel,1.0612093930549165,0.023845367584346373,0.0031076848075387254,Solve_Succeeded,44.96770875398943,494.15064564823547,1.4974261989340472,1.0351065961197234,136.26578410299828,track_boundary_maisach
280.0,1.8316206889755982,,euler,105.0,0.375,43.2248259516365,four_wheel,1.013955714161341,0.02292006416047521,0.003663241377951196,Solve_Succeeded,42.65312614299182,406.2202489808745,1.4507866035031232,0.9867738088920396,152.33259336782794,track_boundary_maisach
256.0,2.0,,euler,87.0,0.33984375,43.531295305224894,four_wheel,1.0120540871982726,0.022720655294287843,0.004,Solve_Succeeded,33.20377790699422,381.65261962062317,1.4908305453930595,0.7627564875839773,129.70225744919617,track_boundary_maisach
237.0,2.1590570190034555,,euler,137.0,0.5780590717299579,44.057369910830765,four_wheel,1.0403774728747237,0.023069388899247506,0.004318114038006911,Solve_Succeeded,44.94479519300512,328.0641984890885,1.3842371244265337,1.0201424933891978,189.64048604643511,track_boundary_maisach
nan,2.5450286947322156,"Error in Opti::solve [OptiNode] at .../casadi/core/optistack.cpp:217:
.../casadi/core/optistack_internal.cpp:1338: Assertion ""return_success(accept_limit)"" failed:
Solver failed. You may use opti.debug.value to investigate the latest values of variables. return_status is 'Infeasible_Problem_Detected'",euler,nan,nan,nan,four_wheel,nan,nan,,,nan,nan,,nan,nan,track_boundary_maisach
171.0,3.0,,euler,122.0,0.7134502923976608,44.062198469182775,four_wheel,0.9383350296587238,0.02085164234070426,0.006,Solve_Succeeded,29.15299003799737,238.95893473768336,1.3974206709806045,0.6616326704258084,170.48532185963376,track_boundary_maisach
