N,ds_m,error,integrator_name,iter_count,iters_per_point,lap_time_s,model_name,reg_term,reg_term_relative,return_status,solve_time_s,time_per_iter_ms,time_per_iter_per_point_ms,time_per_lap_solve_ratio,time_per_point_ms,track_id
4000,0.1,,euler,94,0.0235,28.724242439679188,point_mass,3.1131338661602754,0.09778236234840994,Solve_Succeeded,58.368882163995295,620.9455549361202,0.15523638873403003,2.0320425259802675,14.592220540998824,fsg_random
3495,0.11444192979749987,,euler,87,0.024892703862660945,28.71421272106248,point_mass,3.112733243735665,0.09780182010484043,Solve_Succeeded,48.11870977800572,553.0886181379968,0.15825139288640824,1.675780222339498,13.767871181117517,fsg_random
3054,0.1309695529577589,,euler,98,0.032089063523248196,28.70329676115439,point_mass,3.1118792173823913,0.09781115840697324,Solve_Succeeded,48.160753746997216,491.4362627244614,0.1609156066550299,1.677882305567616,15.769729452192932,fsg_random
2669,0.14988408385201787,,euler,118,0.04421131509928812,28.690860670451194,point_mass,3.1112478633013154,0.09783149629840603,Solve_Succeeded,50.48911896599748,427.8738895423515,0.16031243519758392,1.7597631366282565,18.916867353314903,fsg_random
2332,0.17153023801955214,,euler,113,0.04845626072041166,28.687176351834832,point_mass,3.106395851253467,0.09770515346343259,Solve_Succeeded,41.997952051999164,371.6632924955678,0.15937533983514915,1.4639974160201017,18.009413401371855,fsg_random
2038,0.19630251457582026,,euler,40,0.019627085377821395,28.68808569495108,point_mass,3.1039229714485614,0.09763217555765948,Solve_Succeeded,15.465743487002328,386.6435871750582,0.18971716740679992,0.5390998776096169,7.5886866962719965,fsg_random
1780,0.22465238592158718,,euler,36,0.020224719101123594,28.687178968939232,point_mass,3.102441562641946,0.09759290959638374,Solve_Succeeded,12.816046776992152,356.00129936089314,0.20000072997802984,0.4467517280408995,7.200026279209074,fsg_random
1556,0.2570965257847913,,euler,36,0.02313624678663239,28.680067651259176,point_mass,3.1036805998523285,0.09764992395897769,Solve_Succeeded,11.298391320000519,313.8442033333477,0.20169935946873252,0.3939457694934856,7.26117694087437,fsg_random
1359,0.29422622555044203,,euler,37,0.027225901398086828,28.6731667139115,point_mass,3.106706254359196,0.09775703815622419,Solve_Succeeded,10.173255816000164,274.9528598918963,0.20231998520375008,0.35480056728663867,7.485839452538753,fsg_random
1188,0.33671817049027053,,euler,38,0.03198653198653199,28.670276532668534,point_mass,3.107285507934307,0.09778237562604912,Solve_Succeeded,9.263053407004918,243.76456334223468,0.20518902638235242,0.32308908483844134,7.797183002529392,fsg_random
