N,ds_m,error,integrator_name,iter_count,iters_per_point,lap_time_s,model_name,reg_term,reg_term_relative,return_status,solve_time_s,time_per_iter_ms,time_per_iter_per_point_ms,time_per_lap_solve_ratio,time_per_point_ms,track_id
3999,0.1,,euler,89,0.022255563890972743,28.71702359539669,point_mass,3.1140522548586276,0.09783056876582605,Solve_Succeeded,56.197592522003106,631.4336238427315,0.1578978804307906,1.9569434950428333,14.052911358340362,fsg_random
3495,0.11444192979749987,,euler,112,0.03204577968526466,28.7074187891928,point_mass,3.1134654077859736,0.09784345992753969,Solve_Succeeded,61.23971073300345,546.7831315446737,0.15644724793839018,2.133236400761247,17.5220917690997,fsg_random
3054,0.1309695529577589,,euler,99,0.03241650294695481,28.69667893083654,point_mass,3.1127290648264534,0.09785561131005185,Solve_Succeeded,47.6542090360017,481.3556468283,0.15761481559538312,1.6606175631283242,15.603866743942929,fsg_random
2668,0.14988408385201787,,euler,113,0.04235382308845577,28.68435479567175,point_mass,3.111933588110805,0.09787097005001445,Solve_Succeeded,47.75236402900191,422.5872922920523,0.15839103908997462,1.6647529417746352,17.898187417167133,fsg_random
2332,0.17153023801955214,,euler,101,0.043310463121783875,28.67950354252694,point_mass,3.1076060621037165,0.09776309015686689,Solve_Succeeded,37.97271253199142,375.9674508117962,0.161221033795796,1.3240366059922966,16.283324413375396,fsg_random
2037,0.19630251457582026,,euler,39,0.01914580265095729,28.680588736856834,point_mass,3.104604338668622,0.09767454711669385,Solve_Succeeded,15.414327848004177,395.23917558985073,0.19403003219923942,0.5374480973675252,7.5671712557703374,fsg_random
1780,0.22465238592158718,,euler,36,0.020224719101123594,28.67721576526535,point_mass,3.1046595443056617,0.0976864805510927,Solve_Succeeded,12.390250618002028,344.1736282778341,0.19335597094260346,0.43205905062127575,6.960814953933724,fsg_random
1556,0.2570965257847913,,euler,36,0.02313624678663239,28.670852052355013,point_mass,3.1056534373933324,0.09773426591527726,Solve_Succeeded,11.06097756899544,307.24937691654003,0.1974610391494473,0.38579172843546156,7.108597409380103,fsg_random
1359,0.29422622555044203,,euler,38,0.027961736571008096,28.667668768663592,point_mass,3.1072524503863086,0.09778946197743613,Solve_Succeeded,10.526408792997245,277.0107577104538,0.20383425880092262,0.36718747094300114,7.745701834435059,fsg_random
1188,0.33671817049027053,,euler,40,0.03367003367003367,28.662331211093704,point_mass,3.108467494327055,0.09784039498499249,Solve_Succeeded,9.384390877006808,234.6097719251702,0.19748297300098502,0.3274119892025599,7.899318920039401,fsg_random
1038,0.3853467722879013,,euler,36,0.03468208092485549,28.65689918366471,point_mass,3.1068432471062124,0.09781099484349419,Solve_Succeeded,7.755067970996606,215.41855474990572,0.20753232634865676,0.2706178334680825,7.471163748551644,fsg_random
907,0.4409982826186517,,euler,37,0.040793825799338476,28.654940511498385,point_mass,3.105531378670129,0.09777976188166931,Solve_Succeeded,6.792947162000928,183.59316654056562,0.20241804469742627,0.23706024304168832,7.489467653804772,fsg_random
792,0.5046869450026175,,euler,37,0.04671717171717172,28.657185353561076,point_mass,3.1046685485815573,0.09774834171037222,Solve_Succeeded,6.00079122200259,162.18354654061054,0.2047772052280436,0.2093991837637643,7.576756593437613,fsg_random
692,0.5775734792970422,,euler,37,0.05346820809248555,28.656044492599495,point_mass,3.10311861780896,0.09770782079556663,Solve_Succeeded,3.65734595899994,98.84718808107947,0.14284275734260038,0.1276291275979998,5.285182021676214,fsg_random
605,0.6609862357060986,,euler,36,0.05950413223140496,28.649691334631303,point_mass,3.1030580334345927,0.09772564880808003,Solve_Succeeded,3.208590007008752,89.12750019468756,0.14731818213997944,0.11199387698569227,5.3034545570392595,fsg_random
529,0.7564454038379105,,euler,38,0.07183364839319471,28.64489672756682,point_mass,3.103339611480628,0.09774840965461133,Solve_Succeeded,2.9274841000005836,77.03905526317325,0.14563148442943905,0.10219915009095766,5.533996408318684,fsg_random
462,0.8656907180165958,,euler,38,0.08225108225108226,28.6434153556455,point_mass,3.099782867515575,0.09765187633972724,Solve_Succeeded,2.491528908998589,65.56655023680499,0.14191893990650425,0.08698435148403204,5.392919716447162,fsg_random
404,0.9907131637760251,,euler,40,0.09900990099009901,28.639150803950525,point_mass,3.0976870312813745,0.09760540881116235,Solve_Succeeded,2.255770242001745,56.39425605004362,0.13958974269812777,0.07876526288937942,5.5835897079251104,fsg_random
353,1.1337912633831488,,euler,38,0.10764872521246459,28.634960401665055,point_mass,3.098736895394431,0.09764815194356716,Solve_Succeeded,1.8750872439995874,49.34440115788387,0.1397858389741753,0.06548244585281687,5.311861881018661,fsg_random
308,1.2975326016911297,,euler,38,0.12337662337662338,28.64517119539611,point_mass,3.093115628991857,0.09745691839343644,Solve_Succeeded,1.6443060729943682,43.271212447220215,0.14049094950396174,0.05740255702359507,5.338656081150546,fsg_random
269,1.4849213491270368,,euler,40,0.14869888475836432,28.635951139290732,point_mass,3.0927198443395767,0.09747398010887993,Solve_Succeeded,1.4360277079977095,35.90069269994274,0.13345982416335592,0.050147721687769216,5.3383929665342365,fsg_random
235,1.6993726479160507,,euler,38,0.16170212765957448,28.624943777985713,point_mass,3.09304653695515,0.09751710326672747,Solve_Succeeded,1.1844585049984744,31.169960657854592,0.13263813045895573,0.04137854432781082,5.040248957440317,fsg_random
206,1.944794852726002,,euler,39,0.18932038834951456,28.61354794086568,point_mass,3.0923725316154496,0.09753296815020547,Solve_Succeeded,1.0472314430080587,26.852088282257913,0.13034994311775688,0.036599146850726946,5.083647781592519,fsg_random
180,2.2256607600620826,,euler,40,0.2222222222222222,28.589289832159807,point_mass,3.0846082446534595,0.09738644221096149,Solve_Succeeded,0.91750637399673,22.93765934991825,0.12743144083287916,0.03209266055166702,5.0972576333151665,fsg_random
157,2.54708912456075,,euler,38,0.24203821656050956,28.613153871421392,point_mass,3.078841182145574,0.097148859733873,Solve_Succeeded,0.7820394330046838,20.579985079070628,0.13108270751000398,0.027331465678999443,4.981142885380152,fsg_random
137,2.9149379478095683,,euler,41,0.29927007299270075,28.67974444429333,point_mass,3.073803600525931,0.09680189426981015,Solve_Succeeded,0.7124840510077775,17.377659780677497,0.12684423197574818,0.02484276149641727,5.200613511005675,fsg_random
120,3.3359112398729085,,euler,39,0.325,28.52869612024296,point_mass,3.0793771615322605,0.09742375418079618,Solve_Succeeded,0.5821556870068889,14.927068897612536,0.1243922408134378,0.020405968942752057,4.851297391724074,fsg_random
105,3.8176811992422626,,euler,39,0.37142857142857144,28.597049749313946,point_mass,3.084053118088967,0.09734677264856799,Solve_Succeeded,0.528228052004124,13.54430902574677,0.1289934192928264,0.018471417738355908,5.030743352420229,fsg_random
92,4.369028037929182,,euler,40,0.43478260869565216,28.868513041999755,point_mass,3.0904623921001644,0.09670092204528781,Solve_Succeeded,0.4685651400068309,11.714128500170773,0.1273274836975084,0.01623101055898281,5.093099347900337,fsg_random
80,5.0,,euler,40,0.5,28.358474056082283,point_mass,3.059983669950192,0.09739445827141201,Solve_Succeeded,0.39610958499542903,9.902739624885726,0.12378424531107157,0.013967944262870943,4.951369812442863,fsg_random
