x,y,z,boundary_left,boundary_right,velocity_long_ref,kappa,yaw_angle,yaw_angle_error,lat_deviation,arc_progress,time,yaw_angle_dot,velocity_lat,acceleration_long,acceleration_lat,force_long_fl,force_long_fr,force_long_rl,force_long_rr,steering_angle,steering_angle_dot
5.19286489,0.0,0,0.86,-0.86,3,0,0,0,0,5.19286502,0,0,0,0,0,0,0,0,0,0,0
5.29272795,0.0,0,0.86,-0.86,3,0,0,0,0,5.29272781,0,0,0,0,0,0,0,0,0,0,0
5.39259052,0.0,0,0.86,-0.86,3,0,0,0,0,5.3925906,0,0,0,0,0,0,0,0,0,0,0
5.49245358,0.0,0,0.86,-0.86,3,0,0,0,0,5.49245339,0,0,0,0,0,0,0,0,0,0,0
5.59231615,0.0,0,0.86,-0.86,3,0,0,0,0,5.59231618,0,0,0,0,0,0,0,0,0,0,0
5.6921792,0.0,0,0.86,-0.86,3,0,0,0,0,5.69217897,0,0,0,0,0,0,0,0,0,0,0
5.79204178,0.0,0,0.86,-0.86,3,0,0,0,0,5.79204176,0,0,0,0,0,0,0,0,0,0,0
5.89190435,0.0,0,0.86,-0.86,3,0,0,0,0,5.89190455,0,0,0,0,0,0,0,0,0,0,0
5.99176741,0.0,0,0.86,-0.86,3,0,0,0,0,5.99176734,0,0,0,0,0,0,0,0,0,0,0
6.09162998,0.0,0,0.86,-0.86,3,0,0,0,0,6.09163012,0,0,0,0,0,0,0,0,0,0,0
6.19149303,0.0,0,0.86,-0.86,3,0,0,0,0,6.19149291,0,0,0,0,0,0,0,0,0,0,0
6.29135561,0.0,0,0.86,-0.86,3,0,0,0,0,6.2913557,0,0,0,0,0,0,0,0,0,0,0
6.39121866,0.0,0,0.86,-0.86,3,0,0,0,0,6.39121849,0,0,0,0,0,0,0,0,0,0,0
6.49108124,0.0,0,0.86,-0.86,3,0,0,0,0,6.49108128,0,0,0,0,0,0,0,0,0,0,0
6.59094429,0.0,0,0.86,-0.86,3,0,0,0,0,6.59094407,0,0,0,0,0,0,0,0,0,0,0
6.69080687,0.0,0,0.86,-0.86,3,0,0,0,0,6.69080686,0,0,0,0,0,0,0,0,0,0,0
6.79066944,0.0,0,0.86,-0.86,3,0,0,0,0,6.79066965,0,0,0,0,0,0,0,0,0,0,0
6.89053249,0.0,0,0.86,-0.86,3,0,0,0,0,6.89053244,0,0,0,0,0,0,0,0,0,0,0
6.99039507,0.0,0,0.86,-0.86,3,0,0,0,0,6.99039522,0,0,0,0,0,0,0,0,0,0,0
7.09025812,0.0,0,0.86,-0.86,3,0,0,0,0,7.09025801,0,0,0,0,0,0,0,0,0,0,0
7.1901207,0.0,0,0.86,-0.86,3,0,0,0,0,7.1901208,0,0,0,0,0,0,0,0,0,0,0
7.28998375,0.0,0,0.86,-0.86,3,0,0,0,0,7.28998359,0,0,0,0,0,0,0,0,0,0,0
7.38984632,0.0,0,0.86,-0.86,3,0,0,0,0,7.38984638,0,0,0,0,0,0,0,0,0,0,0
7.48970938,0.0,0,0.86,-0.86,3,0,0,0,0,7.48970917,0,0,0,0,0,0,0,0,0,0,0
7.58957195,0.0,0,0.86,-0.86,3,0,0,0,0,7.58957196,0,0,0,0,0,0,0,0,0,0,0
7.68943453,0.0,0,0.86,-0.86,3,0,0,0,0,7.68943475,0,0,0,0,0,0,0,0,0,0,0
7.78929758,0.0,0,0.86,-0.86,3,0,0,0,0,7.78929754,0,0,0,0,0,0,0,0,0,0,0
7.88916016,0.0,0,0.86,-0.86,3,0,0,0,0,7.88916032,0,0,0,0,0,0,0,0,0,0,0
7.98902321,0.0,0,0.86,-0.86,3,-0,0,0,0,7.98902311,0,-0,0,0,0,0,0,0,0,0,0
8.08888626,0.0,0,0.86,-0.86,3,0,0,0,0,8.0888859,0,0,0,0,0,0,0,0,0,0,0
8.18874836,0.0,0,0.86,-0.86,3,0,0,0,0,8.18874869,0,0,0,0,0,0,0,0,0,0,0
8.28861141,0.0,0,0.86,-0.86,3,-0,0,0,0,8.28861148,0,-0,0,0,0,0,0,0,0,0,0
8.38847446,0.0,0,0.86,-0.86,3,0,0,0,0,8.38847427,0,0,0,0,0,0,0,0,0,0,0
8.48833752,0.0,0,0.86,-0.86,3,0,0,0,0,8.48833706,0,0,0,0,0,0,0,0,0,0,0
8.58819962,0.0,0,0.86,-0.86,3,0,0,0,0,8.58819985,0,0,0,0,0,0,0,0,0,0,0
8.68806267,0.0,0,0.86,-0.86,3,-0,0,0,0,8.68806264,0,-0,0,0,0,0,0,0,0,0,0
